country,year,sex,age,suicides_no,population
Canada,1985,male,25-34,605.0,2240500.0
Canada,1985,male,35-54,774.0,3046800.0
Canada,1985,male,05-14,13.0,1844400.0
Canada,1985,male,55-74,502.0,1841000.0
Canada,1985,male,75+,111.0,390200.0
Canada,1986,female,15-24,109.0,2061500.0
Canada,1986,female,25-34,172.0,2278400.0
Canada,1986,female,35-54,307.0,3087900.0
Canada,1986,female,05-14,5.0,1744900.0
Canada,1986,female,55-74,191.0,2115500.0
Canada,1986,female,75+,36.0,653100.0
Canada,1986,male,15-24,570.0,2116700.0
Canada,1986,male,25-34,719.0,2248800.0
Canada,1986,male,35-54,878.0,3098100.0
Canada,1986,male,05-14,20.0,1836900.0
Canada,1986,male,55-74,520.0,1862900.0
Canada,1986,male,75+,143.0,394400.0
Canada,1987,female,15-24,100.0,2019400.0
Canada,1987,female,25-34,178.0,2317300.0
Canada,1987,female,35-54,298.0,3176700.0
Canada,1987,female,05-14,5.0,1752800.0
Canada,1987,female,55-74,171.0,2148300.0
Canada,1987,female,75+,47.0,679400.0
Canada,1987,male,15-24,532.0,2085000.0
Canada,1987,male,25-34,709.0,2290800.0
Canada,1987,male,35-54,874.0,3179200.0
Canada,1987,male,05-14,25.0,1843600.0
Canada,1987,male,55-74,535.0,1896900.0
Canada,1987,male,75+,117.0,408700.0
Canada,1988,female,15-24,96.0,1968700.0
Canada,1988,female,25-34,168.0,2350300.0
Canada,1988,female,35-54,322.0,3274100.0
Canada,1988,female,05-14,4.0,1763800.0
Canada,1988,female,55-74,142.0,2175900.0
Canada,1988,female,75+,44.0,708300.0
Canada,1988,male,15-24,549.0,2041900.0
Canada,1988,male,25-34,679.0,2326400.0
Canada,1988,male,35-54,827.0,3266900.0
Canada,1988,male,05-14,24.0,1854500.0
Canada,1988,male,55-74,525.0,1924900.0
Canada,1988,male,75+,130.0,424900.0
Canada,1989,female,15-24,91.0,1919500.0
Canada,1989,female,25-34,174.0,2371500.0
Canada,1989,female,35-54,322.0,3384300.0
Canada,1989,female,05-14,6.0,1779400.0
Canada,1989,female,55-74,163.0,2195700.0
Canada,1989,female,75+,40.0,741000.0
Canada,1989,male,15-24,528.0,1997200.0
Canada,1989,male,25-34,666.0,2352400.0
Canada,1989,male,35-54,850.0,3366100.0
Canada,1989,male,05-14,19.0,1870700.0
Canada,1989,male,55-74,501.0,1946000.0
Canada,1989,male,75+,131.0,444600.0
Canada,1990,female,15-24,94.0,1888000.0
Canada,1990,female,25-34,154.0,2388600.0
Canada,1990,female,35-54,293.0,3506700.0
Canada,1990,female,05-14,7.0,1798200.0
Canada,1990,female,55-74,125.0,2216700.0
Canada,1990,female,75+,32.0,768500.0
Canada,1990,male,15-24,484.0,1970600.0
Canada,1990,male,25-34,703.0,2372600.0
Canada,1990,male,35-54,884.0,3483200.0
Canada,1990,male,05-14,23.0,1882100.0
